Obec s rozšířenou působností,district
statut přenáší na velké městské části,Praha
Benešov,Středočeský kraj
Vlašim,Středočeský kraj
Votice,Středočeský kraj
Beroun,Středočeský kraj
Hořovice,Středočeský kraj
Kladno,Středočeský kraj
Slaný,Středočeský kraj
Český Brod,Středočeský kraj
Kolín,Středočeský kraj
Čáslav,Středočeský kraj
Kutná Hora,Středočeský kraj
Mladá Boleslav,Středočeský kraj
Mnichovo Hradiště,Středočeský kraj
Kralupy nad Vltavou,Středočeský kraj
Mělník,Středočeský kraj
Neratovice,Středočeský kraj
Lysá nad Labem,Středočeský kraj
Nymburk,Středočeský kraj
Poděbrady,Středočeský kraj
Brandýs nad Labem- -Stará Boleslav,Středočeský kraj
Říčany,Středočeský kraj
Černošice,Středočeský kraj
Dobříš,Středočeský kraj
Příbram,Středočeský kraj
Sedlčany,Středočeský kraj
Rakovník,Středočeský kraj
České Budějovice,Jihočeský kraj
Trhové Sviny,Jihočeský kraj
Týn nad Vltavou,Jihočeský kraj
Český Krumlov,Jihočeský kraj
Kaplice,Jihočeský kraj
Dačice,Jihočeský kraj
Jindřichův Hradec,Jihočeský kraj
Třeboň,Jihočeský kraj
Milevsko,Jihočeský kraj
Písek,Jihočeský kraj
Prachatice,Jihočeský kraj
Vimperk,Jihočeský kraj
Blatná,Jihočeský kraj
Strakonice,Jihočeský kraj
Vodňany,Jihočeský kraj
Soběslav,Jihočeský kraj
Tábor,Jihočeský kraj
Domažlice,Plzeňský kraj
Horšovský Týn,Plzeňský kraj
Horažďovice,Plzeňský kraj
Klatovy,Plzeňský kraj
Sušice,Plzeňský kraj
Blovice,Plzeňský kraj
Nepomuk,Plzeňský kraj
Přeštice,Plzeňský kraj
Stod,Plzeňský kraj
Plzeň,Plzeňský kraj
Kralovice,Plzeňský kraj
Nýřany,Plzeňský kraj
Rokycany,Plzeňský kraj
Stříbro,Plzeňský kraj
Tachov,Plzeňský kraj
Aš,Karlovarský kraj
Cheb,Karlovarský kraj
Mariánské Lázně,Karlovarský kraj
Karlovy Vary,Karlovarský kraj
Ostrov,Karlovarský kraj
Kraslice,Karlovarský kraj
Sokolov,Karlovarský kraj
Děčín,Ústecký kraj
Rumburk,Ústecký kraj
Varnsdorf,Ústecký kraj
Chomutov,Ústecký kraj
Kadaň,Ústecký kraj
Litoměřice,Ústecký kraj
Lovosice,Ústecký kraj
Roudnice nad Labem,Ústecký kraj
Louny,Ústecký kraj
Podbořany,Ústecký kraj
Žatec,Ústecký kraj
Most,Ústecký kraj
Litvínov,Ústecký kraj
Bílina,Ústecký kraj
Teplice,Ústecký kraj
Ústí nad Labem,Ústecký kraj
Česká Lípa,Liberecký kraj
Nový Bor,Liberecký kraj
Jablonec nad Nisou,Liberecký kraj
Tanvald,Liberecký kraj
Železný Brod,Liberecký kraj
Frýdlant,Liberecký kraj
Liberec,Liberecký kraj
Jilemnice,Liberecký kraj
Semily,Liberecký kraj
Turnov,Liberecký kraj
Hradec Králové,Královéhradecký kraj
Nový Bydžov,Královéhradecký kraj
Hořice,Královéhradecký kraj
Jičín,Královéhradecký kraj
Nová Paka,Královéhradecký kraj
Broumov,Královéhradecký kraj
Jaroměř,Královéhradecký kraj
Náchod,Královéhradecký kraj
Nové Město nad Metují,Královéhradecký kraj
Dobruška,Královéhradecký kraj
Kostelec nad Orlicí,Královéhradecký kraj
Rychnov nad Kněžnou,Královéhradecký kraj
Dvůr Králové nad Labem,Královéhradecký kraj
Trutnov,Královéhradecký kraj
Vrchlabí,Královéhradecký kraj
Chrudim,Pardubický kraj
Hlinsko,Pardubický kraj
Holice,Pardubický kraj
Pardubice,Pardubický kraj
Přelouč,Pardubický kraj
Litomyšl,Pardubický kraj
Moravská Třebová,Pardubický kraj
Polička,Pardubický kraj
Svitavy,Pardubický kraj
Česká Třebová,Pardubický kraj
Králíky,Pardubický kraj
Lanškroun,Pardubický kraj
Ústí nad Orlicí,Pardubický kraj
Vysoké Mýto,Pardubický kraj
Žamberk,Pardubický kraj
Chotěboř,Kraj Vysočina
Havlíčkův Brod,Kraj Vysočina
Světlá nad Sázavou,Kraj Vysočina
Jihlava,Kraj Vysočina
Telč,Kraj Vysočina
Humpolec,Kraj Vysočina
Pacov,Kraj Vysočina
Pelhřimov,Kraj Vysočina
Moravské Budějovice,Kraj Vysočina
Náměšť nad Oslavou,Kraj Vysočina
Třebíč,Kraj Vysočina
Bystřice nad Pernštejnem,Kraj Vysočina
Nové Město na Moravě,Kraj Vysočina
Velké Meziříčí,Kraj Vysočina
Žďár nad Sázavou,Kraj Vysočina
Blansko,Jihomoravský kraj
Boskovice,Jihomoravský kraj
Brno,Jihomoravský kraj
Ivančice,Jihomoravský kraj
Kuřim,Jihomoravský kraj
Pohořelice,Jihomoravský kraj
Rosice,Jihomoravský kraj
Šlapanice,Jihomoravský kraj
Tišnov,Jihomoravský kraj
Židlochovice,Jihomoravský kraj
Břeclav,Jihomoravský kraj
Hustopeče,Jihomoravský kraj
Mikulov,Jihomoravský kraj
Hodonín,Jihomoravský kraj
Kyjov,Jihomoravský kraj
Veselí nad Moravou,Jihomoravský kraj
Bučovice,Jihomoravský kraj
Slavkov u Brna,Jihomoravský kraj
Vyškov,Jihomoravský kraj
Moravský Krumlov,Jihomoravský kraj
Znojmo,Jihomoravský kraj
Jeseník,Olomoucký kraj
Litovel,Olomoucký kraj
Olomouc,Olomoucký kraj
Šternberk,Olomoucký kraj
Uničov,Olomoucký kraj
Konice,Olomoucký kraj
Prostějov,Olomoucký kraj
Hranice,Olomoucký kraj
Lipník nad Bečvou,Olomoucký kraj
Přerov,Olomoucký kraj
Mohelnice,Olomoucký kraj
Šumperk,Olomoucký kraj
Zábřeh,Olomoucký kraj
Bruntál,Moravskoslezský kraj
Krnov,Moravskoslezský kraj
Rýmařov,Moravskoslezský kraj
Frýdek-Místek,Moravskoslezský kraj
Frýdlant nad Ostravicí,Moravskoslezský kraj
Jablunkov,Moravskoslezský kraj
Třinec,Moravskoslezský kraj
Bohumín,Moravskoslezský kraj
Český Těšín,Moravskoslezský kraj
Havířov,Moravskoslezský kraj
Karviná,Moravskoslezský kraj
Orlová,Moravskoslezský kraj
Bílovec,Moravskoslezský kraj
Frenštát pod Radhoštěm,Moravskoslezský kraj
Kopřivnice,Moravskoslezský kraj
Nový Jičín,Moravskoslezský kraj
Odry,Moravskoslezský kraj
Hlučín,Moravskoslezský kraj
Kravaře,Moravskoslezský kraj
Opava,Moravskoslezský kraj
Vítkov,Moravskoslezský kraj
Ostrava,Moravskoslezský kraj
Bystřice pod Hostýnem,Zlínský kraj
Holešov,Zlínský kraj
Kroměříž,Zlínský kraj
Uherský Brod,Zlínský kraj
Uherské Hradiště,Zlínský kraj
Rožnov pod Radhoštěm,Zlínský kraj
Valašské Meziříčí,Zlínský kraj
Vsetín,Zlínský kraj
Luhačovice,Zlínský kraj
Otrokovice,Zlínský kraj
Valašské Klobouky,Zlínský kraj
Vizovice,Zlínský kraj
Zlín,Zlínský kraj
